player_id,full_name,first_name,last_name
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo
203145,Kent Bazemore,Kent,Bazemore
1627736,Malik Beasley,Malik,Beasley
1628972,Troy Brown Jr.,Troy,Brown Jr.
203076,Anthony Davis,Anthony,Davis
1629117,Wenyen Gabriel,Wenyen,Gabriel
1629060,Rui Hachimura,Rui,Hachimura
1627885,Shaquille Harrison,Shaquille,Harrison
2544,LeBron James,LeBron,James
1630559,Austin Reaves,Austin,Reaves
1626156,D'Angelo Russell,D'Angelo,Russell
203471,Dennis Schroder,Dennis,Schroder
1631306,Cole Swider,Cole,Swider
1629020,Jarred Vanderbilt,Jarred,Vanderbilt
1629022,Lonnie Walker IV,Lonnie,Walker IV
