player_id,full_name,first_name,last_name
1630173,Precious Achiuwa,Precious,Achiuwa
203500,Steven Adams,Steven,Adams
1628389,Bam Adebayo,Bam,Adebayo
1630534,Ochai Agbaji,Ochai,Agbaji
1630583,Santi Aldama,Santi,Aldama
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker
1628960,Grayson Allen,Grayson,Allen
1628386,Jarrett Allen,Jarrett,Allen
1630631,Jose Alvarado,Jose,Alvarado
203937,Kyle Anderson,Kyle,Anderson
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo
203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo
1630175,Cole Anthony,Cole,Anthony
1628384,O.G. Anunoby,O.G.,Anunoby
1627853,Ryan Arcidiacono,Ryan,Arcidiacono
1630166,Deni Avdija,Deni,Avdija
1629028,Deandre Ayton,Deandre,Ayton
1628962,Udoka Azubuike,Udoka,Azubuike
1628963,Marvin Bagley III,Marvin,Bagley III
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.
1630163,LaMelo Ball,LaMelo,Ball
1629071,LiAngelo Ball,LiAngelo,Ball
1628366,Lonzo Ball,Lonzo,Ball
1628964,Mo Bamba,Mo,Bamba
1631094,Paolo Banchero,Paolo,Banchero
1630217,Desmond Bane,Desmond,Bane
1630625,Dalano Banton,Dalano,Banton
1631230,Dominick Barlow,Dominick,Barlow
203084,Harrison Barnes,Harrison,Barnes
1630567,Scottie Barnes,Scottie,Barnes
1629628,RJ Barrett,RJ,Barrett
203115,Will Barton,Will,Barton
1629646,Charles Bassey,Charles,Bassey
1628966,Keita Bates-Diop,Keita,Bates-Diop
201587,Nicolas Batum,Nicolas,Batum
203145,Kent Bazemore,Kent,Bazemore
1629647,Darius Bazley,Darius,Bazley
203078,Bradley Beal,Bradley,Beal
1627736,Malik Beasley,Malik,Beasley
1630699,MarJon Beauchamp,MarJon,Beauchamp
1631262,Jules Bernard,Jules,Bernard
202722,Davis Bertans,Davis,Bertans
201976,Patrick Beverley,Patrick,Beverley
1630180,Saddiq Bey,Saddiq,Bey
1631234,Marcus Bingham Jr.,Marcus,Bingham Jr.
203920,Khem Birch,Khem,Birch
1629048,Goga Bitadze,Goga,Bitadze
202687,Bismack Biyombo,Bismack,Biyombo
1631205,Buddy Boeheim,Buddy,Boeheim
203992,Bogdan Bogdanovic,Bogdan,Bogdanovic
202711,Bojan Bogdanovic,Bojan,Bogdanovic
1629626,Bol Bol,Bol,Bol
1629716,Marques Bolden,Marques,Bolden
1630195,Leandro Bolmaro,Leandro,Bolmaro
1626164,Devin Booker,Devin,Booker
1630527,Brandon Boston,Brandon,Boston
1628449,Chris Boucher,Chris,Boucher
1630547,James Bouknight,James,Bouknight
1631123,Jamaree Bouyea,Jamaree,Bouyea
1628396,Tony Bradley,Tony,Bradley
1631103,Malaki Branham,Malaki,Branham
1631128,Christian Braun,Christian,Braun
1628969,Mikal Bridges,Mikal,Bridges
1629052,Oshae Brissett,Oshae,Brissett
1627763,Malcolm Brogdon,Malcolm,Brogdon
1628415,Dillon Brooks,Dillon,Brooks
1628971,Bruce Brown,Bruce,Brown
1631122,Gabe Brown,Gabe,Brown
1627759,Jaylen Brown,Jaylen,Brown
1631112,Kendall Brown,Kendall,Brown
1629650,Moses Brown,Moses,Brown
1630535,Greg Brown III,Greg,Brown III
1629718,Charlie Brown Jr.,Charlie,Brown Jr.
1628972,Troy Brown Jr.,Troy,Brown Jr.
1628973,Jalen Brunson,Jalen,Brunson
1628418,Thomas Bryant,Thomas,Bryant
203493,Reggie Bullock,Reggie,Bullock
203504,Trey Burke,Trey,Burke
202692,Alec Burks,Alec,Burks
1630215,Jared Butler,Jared,Butler
202710,Jimmy Butler,Jimmy,Butler
1631288,Jamal Cain,Jamal,Cain
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope
1628427,Vlatko Cancar,Vlatko,Cancar
1629962,Devin Cannady,Devin,Cannady
203991,Clint Capela,Clint,Capela
1630176,Vernon Carey Jr.,Vernon,Carey Jr.
1628975,Jevon Carter,Jevon,Carter
1628976,Wendell Carter Jr.,Wendell,Carter Jr.
1627936,Alex Caruso,Alex,Caruso
1626161,Willie Cauley-Stein,Willie,Cauley-Stein
1630577,Julian Champagnie,Julian,Champagnie
1630551,Justin Champagnie,Justin,Champagnie
1631113,Kennedy Chandler,Kennedy,Chandler
1629597,Zylan Cheatham,Zylan,Cheatham
1629185,Chris Chiozza,Chris,Chiozza
1627737,Marquese Chriss,Marquese,Chriss
1631108,Max Christie,Max,Christie
1630528,Josh Christopher,Josh,Christopher
