person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
76003,Kareem,Abdul-Jabbar,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",K. Abdul-Jabbar,kareem-abdul-jabbar,1947-04-16,UCLA,USA,UCLA/USA,7-2,225.0,20.0,33,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,1970-01-01 00:00:00.000001969,1970-01-01 00:00:00.000001988,N,Y,Y,1969,1,1,Y
1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,"Antetokounmpo, Kostas",K. Antetokounmpo,kostas-antetokounmpo,1997-11-20,University of Dayton,Greece,Dayton/Greece,6-10,200.0,4.0,37,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kostas_antetokounmpo,1970-01-01 00:00:00.000002018,1970-01-01 00:00:00.000002020,Y,Y,Y,2018,2,60,N
2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29,Syracuse,USA,Syracuse/USA,6-7,238.0,20.0,7,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,carmelo_anthony,1970-01-01 00:00:00.000002003,1970-01-01 00:00:00.000002021,N,Y,Y,2003,1,3,Y
76127,Elgin,Baylor,Elgin Baylor,"Baylor, Elgin",E. Baylor,elgin-baylor,1934-09-16,Seattle,USA,Seattle/USA,6-5,225.0,14.0,22,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_elgin_baylor,1970-01-01 00:00:00.000001958,1970-01-01 00:00:00.000001971,N,Y,Y,1958,1,1,Y
203145,Kent,Bazemore,Kent Bazemore,"Bazemore, Kent",K. Bazemore,kent-bazemore,1989-07-01,Old Dominion,USA,Old Dominion/USA,6-4,195.0,11.0,9,Guard-Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,kent_bazemore,1970-01-01 00:00:00.000002012,1970-01-01 00:00:00.000002021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26,Florida State,USA,Florida State/USA,6-4,187.0,7.0,5,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,malik_beasley,1970-01-01 00:00:00.000002016,1970-01-01 00:00:00.000002023,Y,Y,Y,2016,1,19,N
712,Mario,Bennett,Mario Bennett,"Bennett, Mario",M. Bennett,mario-bennett,1973-08-01,Arizona State,USA,Arizona State/USA,6-9,235.0,5.0,24,Center-Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,mario_bennett,1970-01-01 00:00:00.000001995,1970-01-01 00:00:00.000002002,N,Y,Y,1995,1,27,N
204028,Tarik,Black,Tarik Black,"Black, Tarik",T. Black,tarik-black,1991-11-22,Kansas,USA,Kansas/USA,6-9,250.0,5.0,28,Forward-Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,tarik_black,1970-01-01 00:00:00.000002014,1970-01-01 00:00:00.000002017,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76180,Alex,Blackwell,Alex Blackwell,"Blackwell, Alex",A. Blackwell,alex-blackwell,1970-06-27,Monmouth,USA,Monmouth/USA,6-6,250.0,1.0,30,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_alex_blackwell,1970-01-01 00:00:00.000001992,1970-01-01 00:00:00.000001992,N,Y,Y,Undrafted,Undrafted,Undrafted,N
202340,Avery,Bradley,Avery Bradley,"Bradley, Avery",A. Bradley,avery-bradley,1990-11-26,University of Texas at Austin,USA,Texas-Austin/USA,6-3,180.0,13.0,20,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,avery_bradley,1970-01-01 00:00:00.000002010,1970-01-01 00:00:00.000002021,Y,Y,Y,2010,1,19,N
1626148,Anthony,Brown,Anthony Brown,"Brown, Anthony",A. Brown,anthony-brown,1992-10-10,Stanford,USA,Stanford/USA,6-7,224.0,4.0,3,Forward-Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,anthony_brown,1970-01-01 00:00:00.000002015,1970-01-01 00:00:00.000002017,Y,Y,Y,2015,2,34,N
76273,George,Brown,George Brown,"Brown, George",G. Brown,george-brown,1935-10-30,Wayne State,USA,Wayne State/USA,6-6,190.0,1.0,,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_george_brown,1970-01-01 00:00:00.000001957,1970-01-01 00:00:00.000001957,N,Y,Y,1957,4,27,N
203913,Jabari,Brown,Jabari Brown,"Brown, Jabari",J. Brown,jabari-brown,1992-12-18,Missouri,USA,Missouri/USA,6-5,214.0,2.0,15,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,jabari_brown,1970-01-01 00:00:00.000002014,1970-01-01 00:00:00.000002014,Y,Y,Y,2014,,,N
1628972,Troy,Brown Jr.,Troy Brown Jr.,"Brown Jr., Troy",T. Brown Jr.,troy-brown-jr,1999-07-28,Oregon,USA,Oregon/USA,6-7,215.0,5.0,7,Guard-Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,troy_brown_jr,1970-01-01 00:00:00.000002018,1970-01-01 00:00:00.000002023,Y,Y,Y,2018,1,15,N
